song,artist,decade,total_lines,unique_lines,total_words,unique_words,top_common_words,top_uncommon_words,neg,neu,pos,compound
christmas wrapping,the waitresses,1980,80,67,487,414,"this,christmas,to,merry,the,i,year,one,miss,but","christmas,merry,year,one,miss,think,time,i'll,'cause,last",0.068,0.67,0.262,0.9992
true love will find you in the end,daniel johnston,1980,12,10,91,76,"you,will,find,the,true,love,in,end,don't,out","find,true,love,end,sad,know,give,light,friend,dont",0.0,0.635,0.365,0.9924
better be home soon,crowded house,1980,28,18,151,97,"i,you,and,the,be,home,it,in,that's,why","home,that's,tell,better,soon,know,i'm,right,first,time",0.039,0.852,0.109,0.8659
were not gonna take it,twisted sister,1980,40,20,185,100,"it,gonna,take,we're,not,no,we,ain't,anymore,we'll","gonna,take,we're,ain't,anymore,we'll,ohohoh,life,best,rightyeah",0.13,0.829,0.041,-0.9005
walking on sunshine,katrina and the waves,1980,38,29,363,303,"i,feel,now,and,to,good,yeah,on,time,sunshine","feel,good,yeah,time,sunshine,i'm,walking,oh,whoah,love",0.12,0.621,0.26,0.9964
keep on loving you,reo speedwagon,1980,26,19,165,118,"i,you,and,wanna,the,meant,said,that,love,keep","wanna,meant,said,love,keep,lovin,still,cause,baby,every",0.059,0.806,0.135,0.9524
footloose,kenny loggins,1980,23,15,132,105,"your,me,footloose,you,my,tell,so,for,what,this","footloose,tell,i'll,loose,kick,sunday,shoes,please,louise,pull",0.111,0.814,0.075,-0.634
run to you,bryan adams,1980,38,24,242,169,"i'm,gonna,you,to,run,when,the,feeling's,right,oh","i'm,gonna,run,feeling's,right,oh,yeah,night,love,cause",0.017,0.8,0.183,0.9931
pictures of you,the cure,1980,67,61,224,210,"you,i,the,of,pictures,in,to,my,so,all","pictures,heart,remembering,looking,long,feel,always,never,words,apart",0.059,0.923,0.018,-0.743
head over heels,tears for fears,1980,32,24,233,178,"la,my,i'm,and,i,head,over,heels,a,you","la,i'm,head,heels,something,happens,heart,oh,time,",0.125,0.786,0.089,-0.6401
same old lang syne,dan fogelberg,1980,52,47,357,328,"to,the,and,a,her,we,i,she,in,but","drank,toast,said,eyes,innocence,use,thumb,6th,e,string",0.11,0.744,0.146,0.9475
buffalo soldier,bob marley,1980,49,36,286,210,"yoe,yo,woe,the,buffalo,soldier,fighting,america,was,a","yoe,yo,woe,buffalo,soldier,fighting,america,said,dreadlock,rasta",0.277,0.681,0.043,-0.9971
speed of the sound of loneliness,john prine,1980,27,17,217,127,"the,you,come,and,a,on,you're,what,in,of","come,home,running,run,world's,heaven's,name,done,broken,speed",0.142,0.817,0.041,-0.9747
on the turning away,pink floyd,1980,24,21,136,122,"the,a,of,that,and,is,all,we,on,no","turning,away,light,find,dream,wings,night,sin,somehow,changing",0.14,0.797,0.063,-0.8591
sharp dressed man,zz top,1980,19,15,124,88,"i,they,as,a,coz,sharp,and,don't,come,runnin'","coz,sharp,come,runnin',fast,every,girl,crazy,'bout,dressed",0.057,0.822,0.121,0.7967
if you want to sing out sing out,cat stevens,1980,23,14,299,177,"you,to,want,be,if,know,that,there,and,are","want,know,,say,cause,there's,million,well,sing,free",0.041,0.765,0.194,0.9866
beds are burning,midnight oil,1980,26,10,224,88,"to,the,our,how,we,pay,time,has,come,a","pay,time,come,dance,earth,turning,sleep,beds,burning,say",0.073,0.85,0.077,0.5859
alone,heart,1980,27,16,178,120,"i,you,alone,how,the,and,do,get,now,my","alone,get,,tonight,till,always,got,never,really,cared",0.217,0.742,0.041,-0.9832
dont you want me,the human league,1980,34,22,324,203,"you,dont,me,i,want,baby,oh,ohohoh,a,when","dont,want,baby,oh,ohohoh,know,believe,youll,change,back",0.033,0.813,0.154,0.9824
i know its over,the smiths,1980,47,37,349,264,"i,over,and,it's,my,you,can,so,oh,mother","oh,mother,feel,soil,falling,head,tonight,know,love,easy",0.064,0.631,0.304,0.999
hey jealousy,gin blossoms,1980,28,16,324,197,"you,be,the,i,hey,jealousy,and,might,to,around","hey,jealousy,might,around,place,let,thing,tomorrow,drive,town",0.129,0.788,0.083,-0.9391
here comes the rain again,eurythmics,1980,49,16,267,95,"like,to,lovers,do,i,want,a,me,the,my","like,lovers,want,head,talk,falling,walk,comes,rain,new",0.053,0.577,0.37,0.9981
sleigh ride,the ronettes,1980,27,8,327,136,"ding,a,linga,ling,dong,ring,and,together,sleigh,are","ding,linga,ling,dong,ring,together,sleigh,come,lovely,weather",0.005,0.902,0.092,0.9805
everybody knows,leonard cohen,1980,52,44,331,291,"everybody,knows,the,that,and,that's,how,goes,or,a","everybody,knows,that's,goes,poor,rich,take,two,things,coming",0.096,0.858,0.046,-0.9634
send me an angel,scorpions,1980,36,19,201,116,"the,of,here,i,am,will,your,you,in,just","land,way,find,send,angel,morning,star,wise,man,said",0.0,0.921,0.079,0.9337
you can call me al,paul simon,1980,59,47,313,245,"the,i,a,he,you,call,my,can,and,in","call,betty,man,street,long,al,walks,says,youll,bodyguard",0.069,0.901,0.03,-0.874
lay all your love on me,abba,1980,38,26,248,170,",your,i,me,all,don't,love,a,go,tion",",love,go,tion,lay,wasting,e,mo,everything,i've",0.092,0.633,0.275,0.9964
open arms,journey,1980,12,9,146,112,"you,i,to,so,open,arms,with,here,what,your","open,arms,love,come,say,nothing,hide,believe,hoping,see",0.037,0.805,0.158,0.9502
kiss,prince,1980,24,14,219,145,"2,u,be,have,don't,my,your,me,just,rule","2,u,rule,world,i'm,want,time,leave,rich,girl",0.105,0.74,0.155,0.8506
whats love got to do with it,tina turner,1980,37,22,297,156,"to,got,do,a,it,what's,love,with,heart,but","got,what's,love,heart,hand,needs,broken,second,emotion,i've",0.08,0.64,0.28,0.9981
lag ja gale,lata mangeshkar,1980,12,10,96,84,"ho,na,fir,yeh,lag,ja,is,janam,main,se","ho,na,fir,yeh,lag,ja,janam,main,se,ke",0.072,0.928,0.0,-0.7351
yer so bad,tom petty,1980,19,10,166,81,"yer,so,bad,a,i,me,got,in,,h","yer,bad,got,,h,oh,best,thing,ever,u",0.328,0.489,0.183,-0.9915
im over you,keith whitley,1980,20,14,131,93,"you,i'm,over,i,they,been,but,a,don't,seem","i'm,seem,heard,drinkin,tham,ain't,lookin,good,someone,told",0.009,0.945,0.046,0.686
runnin down a dream,tom petty,1980,26,15,158,101,"ououou,a,down,i,was,runnin',dream,it,on,the","ououou,runnin',dream,i'm,yeah,never,would,come,workin',mystery",0.014,0.789,0.197,0.9763
one,metallica,1980,32,29,186,165,"me,i,my,is,that,the,to,oh,god,in","oh,god,can't,hold,breath,wish,death,please,life,taken",0.188,0.628,0.184,-0.7321
you look so good in love,george strait,1980,12,12,99,99,"you,i,and,good,in,to,oh,how,that,on","good,oh,must,look,love,see,sparkle,shine,flush,cheeks",0.02,0.756,0.224,0.951
beautiful boy darling boy,john lennon,1980,29,20,161,118,"beautiful,to,boy,the,you,a,go,every,way,it's","beautiful,boy,go,every,way,better,darling,sleep,say,little",0.022,0.504,0.473,0.9988
the waiting,tom petty and the heartbreakers,1980,35,25,276,201,"the,you,it,don't,yeah,to,waiting,is,hardest,part","yeah,waiting,hardest,part,yeahee,take,let,baby,feel,like",0.051,0.786,0.163,0.9867
althea,grateful dead,1980,24,24,231,231,"you,the,to,a,told,althea,me,and,i,be","told,althea,may,getting,back,limb,baby,said,that's,things",0.048,0.801,0.152,0.9635
shout,tears for fears,1980,30,11,339,133,"shout,come,on,to,you,i,let,it,all,out","shout,come,let,things,without,i'm,talking,really,gave,hope",0.025,0.914,0.062,0.9167
rebel yell,billy idol,1980,38,28,298,227,"more,a,she,you,with,the,babe,to,in,midnight","babe,midnight,hour,cried,rebel,yell,little,night,baby,last",0.14,0.752,0.109,-0.851
the power of love,huey lewis the news,1980,25,21,166,143,"the,power,of,love,you,feel,a,that's,don't,to","power,love,feel,that's,make,man,little,need,curious,thing",0.05,0.588,0.362,0.9977
pasko na sinta ko,gary valenciano,1980,32,15,96,43,"ang,sinta,ko,sa,kung,mawawala,ka,piling,paano,paskong","ang,sinta,ko,sa,kung,mawawala,ka,piling,paano,paskong",0.0,1.0,0.0,0.0
hijo de la luna,mecano,1980,67,45,289,208,"de,luna,el,que,,y,nińo,a,la,un","de,luna,el,que,,nińo,la,un,hijo,ahahahah",0.047,0.953,0.0,-0.8807
celebration,kool the gang,1980,39,19,205,107,",good,a,celebrate,it's,come,on,let's,times,celebration",",good,celebrate,come,let's,times,celebration,ce,le,brate",0.0,0.616,0.384,0.9984
nothings gonna stop us now,starship,1980,45,32,293,210,"us,gonna,nothing's,stop,this,you,and,i,world,that","us,gonna,nothing's,stop,world,heart,let,ever,standing,i'm",0.091,0.749,0.161,0.9794
tennessee christmas,amy grant,1980,34,20,221,137,"the,christmas,a,me,for,tender,tennessee,only,but,i","christmas,tender,tennessee,snow,around,there's,see,us,well,know",0.01,0.818,0.172,0.9915
super trouper,abba,1980,55,29,325,186,"i,gonna,me,like,the,are,super,trouper,you,but","gonna,like,super,trouper,feel,beams,blind,blue,i'm,always",0.149,0.587,0.265,0.9953
seven bridges road,eagles,1980,14,13,77,72,"the,you,and,a,in,i,have,loved,like,there","loved,like,stars,go,seven,bridges,road,child,southern,sky",0.029,0.724,0.246,0.9559
northwest passage,stan rogers,1980,64,36,377,213,",the,a,to,and,sea,for,passage,northwest,one",",sea,passage,northwest,one,take,find,land,ah,time",0.057,0.834,0.109,0.9305
rosanna,toto,1980,38,18,244,124,"you,all,the,meet,way,i,rosanna,yeah,a,to","meet,way,rosanna,yeah,could,wanna,never,ever,quite,year",0.047,0.817,0.136,0.9403
old love,eric clapton,1980,20,17,110,94,"i,me,know,that,old,love,to,can,feel,your","know,old,love,feel,makes,angry,flame,get,learn,leave",0.148,0.719,0.133,0.4797
luka,suzanne vega,1980,41,21,257,132,"you,don't,i,just,ask,me,what,it,was,argue","ask,argue,anymore,live,think,kind,yes,i'm,name,luka",0.081,0.8,0.119,0.7505
walk of life,dire straits,1980,34,18,210,118,"the,he,do,walk,ho,got,yeah,of,life,all","walk,ho,got,yeah,life,song,woho,wo,comes,johnny",0.029,0.805,0.167,0.9794
the killing moon,echo the bunnymen,1980,23,10,241,106,"you,will,to,your,the,up,give,him,yourself,fate","give,fate,thick,thin,wait,moon,saw,soon,killing,blue",0.087,0.89,0.023,-0.9531
out of touch,hall oates,1980,43,19,364,143,"out,of,i'm,you're,time,woh,touch,around,but,my","i'm,time,woh,touch,around,head,soul,broken,we're,alone",0.025,0.927,0.048,0.8969
saving all my love for you,whitney houston,1980,30,25,227,201,"you,love,my,all,i'm,saving,for,be,the,a","love,i'm,saving,feeling,night,try,gonna,'cause,yes,got",0.058,0.598,0.344,0.9985
mad world,tears for fears,1980,49,25,274,158,"i,find,it,world,mad,to,and,the,very,me","find,world,mad,kind,hard,tell,funny,sad,dreams,i'm",0.259,0.611,0.13,-0.99
mistral gagnant,renaud,1980,34,30,279,258,"et,les,te,à,qui,la,un,en,des,avec","et,les,te,à,qui,la,un,en,des,avec",0.011,0.989,0.0,-0.4588
shine on you crazy diamond,pink floyd,1980,29,25,228,206,"you,on,the,shine,and,diamond,come,part,in,for","shine,diamond,come,part,guitar,g,crazy,steel,breeze,cra",0.081,0.755,0.164,0.9565
flame trees,cold chisel,1980,30,22,298,218,"and,to,there's,the,just,that,a,no,this,town","there's,town,oh,nothing,i'm,number,flame,trees'll,blind,weary",0.134,0.758,0.108,-0.8199
lady in red,chris de burgh,1980,25,20,232,190,"you,never,i,seen,to,and,in,i've,so,the","never,seen,i've,lady,red,tonight,cheek,looking,want,side",0.019,0.766,0.215,0.995
running to stand still,u2,1980,26,21,160,151,"the,she,i,ooo,in,from,ahlalaladeday,up,out,of","ooo,ahlalaladeday,without,woke,still,gotta,stepped,rain,ahlaladeday,see",0.204,0.753,0.043,-0.9856
modern love,david bowie,1980,46,28,222,137,",modern,love,on,i,me,the,church,time,god",",modern,love,church,time,god,man,try,walks,never",0.085,0.52,0.395,0.9989
dont know what you got till its gone,cinderella,1980,37,24,317,192,"i,you,what,know,it,so,can't,to,don't,got","know,can't,got,back,take,i've,ain't,oong,baby,let",0.075,0.894,0.031,-0.9205
the road to hell,chris rea,1980,25,25,145,145,"the,this,and,is,you,of,no,road,a,out","road,oh,look,well,i'm,every,ain't,hell,learn,standing",0.201,0.603,0.196,-0.8451
how soon is now,the smiths,1980,31,21,201,129,"you,i,and,,the,your,go,am,to,of",",go,shut,mouth,say,like,things,wrong,way,human",0.101,0.752,0.147,0.8718
asleep,the smiths,1980,32,20,155,99,"to,me,i,sing,sleep,want,there,don't,be,my","sing,sleep,want,must,bye,go,wake,feel,well,bad",0.038,0.798,0.164,0.9378
you make my dreams,hall oates,1980,22,20,137,128,"you,ooh,yeah,well,dreams,my,i,the,make,come","ooh,yeah,well,dreams,make,come,true,oh,got,flame",0.083,0.542,0.374,0.9944
kokomo,the beach boys,1980,47,27,320,178,"wanna,take,kokomo,to,we'll,down,i,in,ooh,go","wanna,take,kokomo,we'll,ooh,go,jamaica,get,aruba,ya",0.005,0.894,0.101,0.9857
when doves cry,prince,1980,44,24,262,139,"just,you,like,maybe,my,me,can,so,cold,i'm","like,maybe,cold,i'm,never,satisfied,doves,sounds,cry,leave",0.167,0.677,0.156,0.3935
litaliano,toto cutugno,1980,28,17,219,144,"con,lasciatemi,cantare,un,buongiorno,la,sono,italiano,in,italia","con,lasciatemi,cantare,un,buongiorno,la,sono,italiano,italia,piano",0.0,1.0,0.0,0.0
waiting for a girl like you,foreigner,1980,39,27,244,174,"you,a,been,waiting,i've,to,for,i,love,someone","waiting,i've,love,someone,girl,like,know,come,life,feel",0.028,0.692,0.28,0.9967
back on the chain gang,the pretenders,1980,25,23,220,202,"oh,the,ohh,ohhh,in,back,a,of,to,on","oh,ohh,ohhh,back,like,,we're,train,yeah,chain",0.086,0.825,0.089,-0.296
tennessee waltz,patsy cline,1980,14,10,104,77,"i,my,tennessee,waltz,the,that,night,lost,darlin',to","tennessee,waltz,night,lost,darlin',yes,beautiful,waltzing,friend,remember",0.073,0.626,0.301,0.9831
it might be you,stephen bishop,1980,42,27,218,157,"you,it's,all,be,of,my,life,me,it,telling","life,telling,might,i've,maybe,time,waiting,something's,watching,go",0.026,0.875,0.099,0.943
so far away,dire straits,1980,13,10,179,145,"so,far,from,me,away,you're,i,and,in,the","far,away,see,can't,tired,sun,right,i'm,bein',youre",0.059,0.918,0.023,-0.6705
hungry heart,bruce springsteen,1980,24,15,172,119,"a,got,everybody's,hungry,heart,and,i,your,in,down","got,everybody's,hungry,heart,lay,money,play,part,went,like",0.058,0.86,0.082,0.6083
weve got tonight,kenny rogers,1980,43,37,196,172,"i,know,we,we've,to,don't,why,got,night,babe","know,we've,got,night,babe,stay,lonely,way,needs,i've",0.087,0.837,0.077,0.25
raspberry beret,prince,1980,33,26,248,213,"i,the,she,was,a,her,raspberry,beret,2,in","raspberry,beret,2,kind,time,like,'cause,something,saw,door",0.113,0.757,0.13,0.7461
save me,queen,1980,32,26,199,161,"me,save,i,i'm,and,the,a,love,it,you","save,i'm,love,face,life,alone,naked,far,home,years",0.115,0.47,0.415,0.9984
red red wine,ub40,1980,29,17,125,75,"red,i,me,my,wine,to,blue,go,head,forget","red,wine,blue,go,head,forget,memories,sworn,time,thoughts",0.168,0.814,0.018,-0.9495
leather and lace,stevie nicks,1980,33,23,272,193,"i,you,me,to,my,your,with,face,stay,need","face,stay,need,love,take,lace,i'm,walked,house,lovers",0.031,0.786,0.183,0.9935
how sweet it is,james taylor,1980,32,22,283,200,"you,to,sweet,i,it,be,how,is,loved,by","sweet,loved,baby,want,stop,thank,like,needed,love,yes",0.041,0.551,0.408,0.9992
take it on the run,reo speedwagon,1980,26,18,176,124,"it,you,the,a,i,on,don't,heard,from,you're","heard,take,run,baby,want,friend,around,babe,that's,way",0.07,0.83,0.099,0.3076
grandpa tell me bout the good old days,the judds,1980,23,17,170,124,"really,grandpa,the,and,did,me,to,something,tell,'bout","really,grandpa,something,tell,'bout,good,old,days,back,lovers",0.031,0.779,0.19,0.983
true,spandau ballet,1980,35,19,230,132,"huh,the,i,this,is,to,true,much,huuh,know","huh,true,much,huuh,know,line,sound,i've,write,next",0.019,0.769,0.212,0.9937
overkill,men at work,1980,36,22,171,98,"the,night,i,and,day,after,ghost,appear,fade,away","night,day,ghost,appear,fade,away,reappears,heartbeat,shows,fear",0.172,0.776,0.052,-0.9706
a little respect,erasure,1980,30,17,183,103,"me,you,to,give,i,a,little,oh,baby,so","give,little,oh,baby,love,soul,hear,calling,please,respect",0.069,0.701,0.23,0.9891
in between days,the cure,1980,19,15,160,128,"i,go,on,it,yesterday,me,and,you,come,back","go,yesterday,come,back,got,made,away,like,without,old",0.15,0.761,0.089,-0.9098
wake me up before you go go,wham,1980,49,29,329,207,"you,me,up,wake,before,gogo,my,i,on,high","wake,gogo,high,hit,dancing,yeah,jitterbug,'cause,i'm,take",0.061,0.781,0.158,0.9782
used to love her,guns n roses,1980,18,13,171,116,"i,her,to,had,yeah,used,love,but,kill,and","yeah,used,love,kill,oo,oh,mm,put,six,feet",0.263,0.448,0.29,0.2846
smalltown boy,bronski beat,1980,16,16,145,145,"away,you,the,to,cry,never,run,and,turn,a","away,cry,never,run,turn,around,boy,leave,lonely,found",0.23,0.754,0.016,-0.9842
merry christmas i dont want to fight tonight,ramones,1980,27,15,204,113,"merry,christmas,i,is,the,to,you,where,and,don't","merry,christmas,want,fight,tonight,way,baby,love,yeah,santa",0.043,0.613,0.344,0.9978
a new england,billy bragg,1980,33,22,231,163,"i,for,looking,you,im,to,a,the,another,girl","looking,im,another,girl,dont,want,change,world,new,england",0.069,0.738,0.192,0.9898
sweet home chicago,the blues brothers,1980,13,9,59,42,"baby,come,on,don't,you,wanna,go,oh,back,to","baby,come,wanna,go,oh,back,old,place,sweet,home",0.0,0.874,0.126,0.7964
everybodys talking,harry nilsson,1980,13,13,68,68,"the,of,i,a,only,my,their,going,where,everybody's","going,everybody's,talking,hear,word,they're,saying,echoes,mind,people",0.024,0.921,0.054,0.25
the chair,george strait,1980,22,21,190,184,"you,i,to,that,don't,well,me,oh,of,a","well,oh,like,think,chair,mind,could,glad,yea,drink",0.039,0.698,0.263,0.993
i melt with you,modern english,1980,30,14,231,109,"the,and,you,hmmm,world,ill,stop,melt,with,all","hmmm,world,ill,stop,melt,better,never,youve,seen,getting",0.19,0.682,0.128,-0.9099
ill be home with bells on,dolly parton,1980,20,11,221,125,"the,on,home,bells,i'll,be,with,and,christmas,this","home,bells,i'll,christmas,trim,tree,wrap,presents,turn,music",0.011,0.947,0.043,0.8126
when i met you,apo hiking society,1980,56,35,321,205,"you,i,and,my,me,love,a,gave,to,when","love,gave,i'm,life,met,reason,feelin',meaning,yes,i've",0.014,0.748,0.238,0.9978
amanda,boston,1980,45,38,286,243,"i,you,and,i'm,gonna,amanda,away,to,say,don't","i'm,gonna,amanda,away,say,,love,wanna,oh,day",0.0,0.83,0.17,0.9923
movin out,billy joel,1980,57,28,436,199,"a,you,the,if,that's,movin',out,all,in,to","that's,movin',ought,know,i'm,,works,mama,get,money",0.037,0.875,0.088,0.9668
throw your arms around me,hunters collectors,1980,33,27,236,199,"you,will,your,i,and,me,we,the,make,never","make,never,time,call,name,i'll,shout,blue,summer,sky",0.032,0.902,0.066,0.5869
hells bells,acdc,1980,34,23,203,155,"hell's,bells,you,i'm,the,gonna,a,i,no,to","hell's,bells,i'm,gonna,take,got,get,fight,yeah,ringing",0.143,0.72,0.137,-0.8494
new years day,u2,1980,17,14,108,90,"i,be,with,you,will,again,day,on,new,year's","day,new,year's,white,say,true,begin,quiet,world,gets",0.02,0.891,0.089,0.7269
deeper than the holler,randy travis,1980,20,16,218,177,"the,than,and,love,i,a,is,that,to,my","love,deeper,higher,fall,song,well,heard,oceans,stars,way",0.015,0.76,0.225,0.9955
glory days,bruce springsteen,1980,25,16,279,216,"glory,days,a,the,i,in,by,of,you,yeah","glory,days,yeah,back,they'll,pass,wink,young,girl's,eye",0.036,0.628,0.336,0.9988
when the children cry,white lion,1980,24,16,208,138,"the,we,when,children,world,all,you,because,let,em","children,world,let,em,know,one,must,cry,tried,sing",0.179,0.731,0.09,-0.9728
thriller,michael jackson,1980,44,38,419,379,"the,you,thriller,and,to,night,your,is,this,of","thriller,night,close,'cos,killer,tonight,see,try,eyes,life",0.219,0.64,0.141,-0.9965
take my breath away,berlin,1980,23,15,173,137,"my,away,take,breath,in,and,to,you,watching,motion","away,take,breath,watching,motion,say,love,turning,returning,secret",0.074,0.81,0.115,0.8987
lately,stevie wonder,1980,30,21,213,149,"i,my,you,to,cause,of,but,this,the,me","cause,well,i'm,man,many,wishes,hope,premonition,misses,really",0.145,0.746,0.109,-0.8512
angel of the morning,juice newton,1980,32,24,216,150,"me,the,angel,just,of,call,morning,to,my,you","angel,call,morning,touch,cheek,leave,baby,bind,need,take",0.096,0.894,0.01,-0.903
greatest love of all,whitney houston,1980,33,22,296,193,"to,i,the,of,love,all,them,greatest,me,they","love,greatest,let,inside,take,never,found,place,believe,children",0.042,0.589,0.37,0.9991
to her door,paul kelly and the coloured girls,1980,24,23,217,208,"to,he,door,the,her,a,in,she,they,his","door,got,said,walking,riding,hit,started,took,i'm,watch",0.071,0.866,0.063,-0.4238
separate ways,journey,1980,49,30,229,138,"you,love,we,if,will,and,i,that,touched,went","love,touched,went,separate,ways,ever,hurts,true,desert,still",0.136,0.578,0.286,0.9947
star of the county down,van morrison,1980,36,28,270,214,"the,from,and,to,i,my,a,brown,in,county","brown,county,town,colleen,maid,says,nut,bantry,bay,derry",0.043,0.817,0.14,0.9786
maybe this time,michael martin murphey,1980,33,25,234,171,"they,maybe,this,time,and,be,back,than,it,friends","maybe,time,back,friends,,love,old,it'll,loving,they'll",0.012,0.767,0.221,0.9957
lullaby,the cure,1980,21,21,180,180,"the,and,in,i,spiderman,of,for,is,shivering,that","spiderman,shivering,shadow,bed,dinner,tonight,closer,like,candystripe,legs",0.128,0.795,0.077,-0.8425
a groovy kind of love,phil collins,1980,17,13,153,107,"you,i,to,a,when,i'm,me,blue,got,groovy","i'm,blue,got,groovy,kind,love,agree,baby,feeling,take",0.063,0.787,0.15,0.9325
who wants to live forever,queen,1980,25,18,122,92,"forever,who,to,us,wants,live,for,there's,no,is","forever,us,wants,live,there's,love,ooh,world,touch,today",0.07,0.811,0.119,0.8294
raglan road,luke kelly,1980,32,32,210,210,"i,the,of,and,her,a,day,on,that,gave","day,gave,saw,dark,hair,along,street,making,loved,away",0.064,0.828,0.107,0.8519
my hometown,bruce springsteen,1980,24,22,257,243,"your,hometown,a,town,my,home,and,the,was,in","hometown,town,home,old,night,running,he'd,son,take,good",0.057,0.899,0.044,-0.3182
suedehead,morrissey,1980,19,14,142,106,"you,why,do,so,it,good,lay,come,i'm,oh","good,lay,come,i'm,oh,know,things,whyyy,sorry,iaaaaaii",0.091,0.792,0.117,0.6218
its the end of the world as we know it and i feel fine,r e m ,1980,51,32,495,281,"the,of,it,world,it's,end,as,we,know,and","world,end,know,fine,feel,,right,listen,needs,light",0.08,0.835,0.085,0.1531
its still rock and roll to me,billy joel,1980,40,36,316,287,"the,a,you,of,it's,to,new,and,can't,still","new,can't,still,rock,roll,matter,ya,what's,i'm,old",0.019,0.84,0.141,0.9896
we didnt start the fire,billy joel,1980,68,45,419,305,"the,we,it,didn't,start,fire,and,on,in,was","start,fire,always,burning,since,world's,turning,light,tried,fight",0.102,0.83,0.069,-0.9597
call me,blondie,1980,38,29,215,167,"me,call,color,any,anytime,your,ooh,the,i'll,in","call,color,anytime,ooh,i'll,know,line,arrive,cover,baby",0.0,0.898,0.102,0.9726
all out of love,air supply,1980,42,24,372,201,"i,you,i'm,so,of,love,know,what,all,out","i'm,love,know,without,right,lost,long,can't,thinking,believing",0.147,0.657,0.196,0.9847
everybody needs somebody to love,the blues brothers,1980,14,8,86,57,"i,never,you,feel,a,to,somebody,when,so,people","never,feel,somebody,people,everybody,needs,sometimes,little,sad,inside",0.103,0.753,0.144,0.678
brass in pocket,the pretenders,1980,32,20,208,127,"gonna,my,use,you,make,i,got,i'm,special,to","gonna,use,make,got,i'm,special,notice,'cos,see,there's",0.01,0.886,0.104,0.9572
i think were alone now,tiffany,1980,43,16,268,95,"we're,the,to,i,think,alone,now,and,around,you","we're,think,alone,around,say,seem,anyone,beating,hearts,sound",0.128,0.83,0.042,-0.9565
just a gigolo i aint got nobody,david lee roth,1980,26,16,277,165,"nobody,me,for,a,i,and,cares,the,will,sad","nobody,cares,sad,lonely,gigolo,know,i'm,come,say,got",0.152,0.689,0.159,0.2847
merry christmas baby,bruce springsteen,1980,11,10,84,76,"i,living,feel,and,you,like,i'm,merry,christmas,baby","living,feel,like,i'm,merry,christmas,baby,surely,treat,nice",0.0,0.467,0.533,0.996
maniac,michael sembello,1980,13,11,83,68,"the,she's,a,on,maniac,like,and,fight,her,will","maniac,like,fight,floor,dancing,never,danced,dsus4xx0233,cadd9x32030,b7x21202",0.248,0.675,0.077,-0.9413
i told you so,randy travis,1980,31,26,278,229,"you,i,and,told,would,that,me,so,my,to","told,would,suppose,come,back,take,loved,said,finally,i'm",0.06,0.836,0.104,0.9484
i saw mommy kissing santa claus,john mellencamp,1980,24,17,168,119,"momma,santa,claus,i,saw,last,night,have,underneath,the","momma,santa,claus,saw,last,night,underneath,would,ol',kissin",0.0,0.893,0.107,0.9509
runaway,bon jovi,1980,22,16,209,173,"you,a,your,in,the,all,to,ooooh,she's,little","ooooh,little,runaway,eyes,talk,life,one,heard,single,word",0.031,0.923,0.047,0.6597
kingston town,ub40,1980,21,11,171,93,"i,the,kingston,town,and,be,in,to,she'll,waiting","kingston,town,she'll,waiting,king,queen,oh,dawn,place,long",0.0,0.857,0.143,0.9767
this must be the place naive melody,talking heads,1980,35,34,252,245,",i,the,me,and,a,be,up,you,home",",home,hi,yo,love,guess,say,got,time,eyes",0.053,0.817,0.129,0.9535
drive,the cars,1980,16,11,115,83,"you,who's,gonna,when,can't,go,on,thinkin',nothing's,wrong","who's,gonna,can't,go,thinkin',nothing's,wrong,drive,home,tonight",0.17,0.809,0.021,-0.9561
for whom the bell tolls,metallica,1980,23,19,165,147,"the,for,on,they,to,whom,bell,tolls,his,a","bell,tolls,time,fight,hill,men,know,gone,marches,sky",0.192,0.741,0.067,-0.9814
a kind of magic,queen,1980,34,27,179,142,"of,a,kind,magic,its,one,be,that,the,this","kind,magic,one,soon,inside,rage,lasts,thousand,years,day",0.081,0.84,0.079,-0.5187
small town,john mellencamp,1980,28,27,211,203,"town,small,in,a,i,and,me,my,the,to","town,small,that's,well,born,live,die,oh,cannot,forget",0.066,0.792,0.142,0.9281
rock you like a hurricane,scorpions,1980,40,34,160,136,"to,is,the,i,a,here,am,rock,you,like","rock,like,hurricane,night,loud,hungry,go,show,breaks,he's",0.09,0.749,0.161,0.9107
the irish rover,pogues,1980,66,66,412,412,"the,of,and,was,a,we,had,million,from,he","million,irish,rover,old,oh,seven,barrels,six,set,away",0.105,0.826,0.069,-0.9089
personal jesus,depeche mode,1980,31,16,122,65,",3,your,and,own,personal,jesus,you,someone,the",",3,personal,jesus,someone,reach,touch,faith,cares,who's",0.0,0.735,0.265,0.9803
holy diver,dio,1980,23,18,189,150,"the,you,oh,can,see,holy,diver,in,of,gotta","oh,see,holy,diver,gotta,get,tiger,know,he's,mean",0.075,0.819,0.105,0.8047
southern cross,crosby stills nash,1980,43,33,306,249,"you,the,and,a,i,for,have,will,to,we","think,know,love,got,southern,sailing,making,way,many,times",0.053,0.762,0.185,0.9935
have a little faith in me,john hiatt,1980,20,17,248,212,"a,me,in,have,little,faith,you,and,i,just","little,faith,see,time,love,loving,baby,catch,girl,gotta",0.035,0.709,0.257,0.9952
